Ticker,MarketCap,PE,Revenue,NetIncome,TotalAssets,TotalDebt,Symbol,Sector,ProfitMargin,ROA,DebtRatio,EarningsYield,LogMarketCap,SizeGroup,PM_z,ROA_z,Debt_z,FinancialStrengthScore
FOX,27324958720,14.035971,16300000000.0,2263000000.0,23195000000.0,7465000000.0,FOX,Communication Services,0.1388343558282208,0.0975641302004742,0.3218366027161026,0.0712455162524915,24.031066360303388,Smaller,-0.16739989084651274,0.4169793026944855,0.05669667840007921,0.19288273344789356
KKR,95945973760,44.273506,19207544000.0,2370463000.0,410144072000.0,54537875000.0,KKR,Financials,0.1234131235102207,0.005779586154789,0.1329724814357429,0.0225868717060718,25.287051096664563,Large,-0.2780197639195385,-0.9685238355117815,-1.0441681069448525,-0.20237549248646736
LYV,36760588288,,25201406000.0,495972000.0,22912533000.0,10404386000.0,LYV,Communication Services,0.0196803305339392,0.0216463190691312,0.4540914791044709,,24.32769213778789,Mid,-1.0221177812454876,-0.729012832058306,0.8275934221493759,-2.5787240354531695
MKC,14606252032,8.906558,6840300000.0,789400000.0,13200400000.0,4164000000.0,MKC,Consumer Staples,0.1154042951332543,0.0598012181449047,0.3154449865155601,0.1122768189462191,23.40471549536996,Smaller,-0.3354688419345024,-0.15305820966442035,0.019440765795205112,-0.5079678173941279
ICE,91567636480,27.944542,12640000000.0,3315000000.0,136887000000.0,20279000000.0,ICE,Financials,0.2622626582278481,0.0242170549431282,0.1481440896505877,0.0357851633424516,25.240343732659444,Large,0.717978324299687,-0.6902071414275454,-0.9557347448666238,0.9835059277387654
BA,175541878784,90.07258,89463000000.0,2235000000.0,168235000000.0,54433000000.0,BA,Industrials,0.0249823949565742,0.0132849882604689,0.3235533628555295,0.0111021578376016,25.891143476935643,Large,-0.9840849132254464,-0.8552285276901999,0.06670345348031496,-1.9060168943959614
WST,19730898944,40.313698,3074100000.0,493700000.0,4270000000.0,321100000.0,WST,Health Care,0.1605998503627078,0.1156206088992974,0.0751990632318501,0.0248054643858273,23.70545171823393,Smaller,-0.011271236979710017,0.6895448872630805,-1.3809219657429415,2.059195616026312
INTC,343939219456,,52853000000.0,-267000000.0,211429000000.0,46585000000.0,INTC,Information Technology,-0.0050517472991126,-0.0012628352780365,0.2203340128364604,,26.563730791080804,Large,-1.1995263861032854,-1.0748303721645558,-0.5349489240695045,-1.739407834198337
DLTR,21064517632,17.833334,19411800000.0,1282500000.0,13466200000.0,7055600000.0,DLTR,Consumer Staples,0.0660680616944332,0.0952384488571386,0.5239488497126138,0.0560747642588873,23.770855833088383,Smaller,-0.6893684375286452,0.38187275144272576,1.2347830925745753,-1.5422787786604948
CPT,10828721152,29.20904,1573544000.0,384462000.0,9042989000.0,3900790000.0,CPT,Real Estate,0.2443287254757414,0.0425149250983275,0.431360692797481,0.0342359762594046,23.105467807145683,Smaller,0.5893343013169957,-0.41399771220272147,0.6950985786665329,-0.5197619895522587
MLM,37515300864,38.020782,6150000000.0,1137000000.0,18711000000.0,5705000000.0,MLM,Materials,0.1848780487804878,0.0607663940997274,0.304900860456416,0.0263014053735138,24.34801470974401,Mid,0.1628815915385266,-0.13848871620305425,-0.042019595188438376,0.06641247052391072
EME,36083523584,28.573202,16986422000.0,1272817000.0,9291399000.0,468209000.0,EME,Industrials,0.0749314364143313,0.1369887354961292,0.0503916579193294,0.0349978276848356,24.3091021876828,Mid,-0.6257895116493324,1.0121003541482594,-1.5255211555689066,1.9118319980678335
CAT,371880001536,42.201275,67589000000.0,8884000000.0,98585000000.0,43330000000.0,CAT,Industrials,0.1314415067540576,0.0901151290764315,0.4395191966323477,0.0236959665318168,26.641837062664436,Large,-0.22043041456655377,0.30453537718207946,0.7426534531022857,-0.65854849048676
EQR,24395741184,21.39249,3093959000.0,1120089000.0,20746023000.0,8479585000.0,EQR,Real Estate,0.362024512929874,0.0539905407412302,0.4087330376525659,0.0467453765316707,23.917674412372055,Smaller,1.433591932674332,-0.2407713629147985,0.5632048735250019,0.6296156962345316
SNA,19795845120,19.805727,5156100000.0,1016900000.0,8412300000.0,1291900000.0,SNA,Industrials,0.1972227070848121,0.1208825172663837,0.1535727446714929,0.0504904465258962,23.708737910202657,Smaller,0.2514325261587322,0.7689742795573119,-0.9240918097035756,1.9444986154196195
VZ,196333191168,11.465517,138191000000.0,17174000000.0,404258000000.0,181643000000.0,VZ,Communication Services,0.1242772684183485,0.0424827709037297,0.4493244413221259,0.0872180469489513,26.00307900782776,Large,-0.2718210634471889,-0.41448308518120003,0.7998069691724116,-1.4861111178008004
